State,Confirmed
Maharashtra,479779
Tamil Nadu,279144
Delhi,141531
Karnataka,158254
Andhra Pradesh,196789
Uttar Pradesh,108974
Gujarat,67811
West Bengal,86754
Telangana,73050
Rajasthan,48996
Bihar,68148
Haryana,39303
Assam,52818
Madhya Pradesh,36564
Odisha,40717
Jammu and Kashmir,23454
Kerala,30449
Punjab,20891
Jharkhand,15756
Chhattisgarh,11020
Uttarakhand,8623
Goa,7614
Tripura,5740
Puducherry,4621
Manipur,3217
Himachal Pradesh,3047
Ladakh,1595
Nagaland,2580
Arunachal Pradesh,1948
Chandigarh,1327
Dadra and Nagar Haveli and Daman and Diu,1415
Meghalaya,990
Sikkim,829
Mizoram,538
Andaman and Nicobar Islands,1123
Lakshadweep,0
